id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,keyPass,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,assist,qualifier/9/value,qualifier/11/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/13/value,qualifier/14/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/19/id,qualifier/19/qualifierId,qualifier/19/value,qualifier/18/value,,teamName
2781056745,11,15,1,0,20,4ku8o6uf87yd8iecdalipo6wd,1,88.9,48.3,5541824189,22,,5541825351,233,5,5541825283,154,,5541825279,29,,5541824191,17,,5541825303,146,99.1,5541825289,55,9,5541825301,103,34.8,9ikkuxd19avliz1khcrm82gyy,J. Alvarez,,5541824193,56,Center,5541825275,79,5541825297,102,50.3,5541824793,15,5541825305,147,50.2,5541824797,328,,,,,,,,,,,,,,,,,,,,,,,,Atletico Madrid
2781056721,5,10,1,0,20,agh9ifb2mw3ivjusgedj7c3fe,1,1.4,49.6,5541824041,56,Back,5541824261,179,,5541825399,233,11,5541824031,173,,5541824037,182,,,,,,,,,,,6ofu6yc2qwp5ii9cerdq1tk9h,Wojciech Szczęsny,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Barcelona
2781056805,6,6,1,0,22,agh9ifb2mw3ivjusgedj7c3fe,0,3.2,51.6,5541824573,73,,5541824637,233,12,5541824571,56,Back,,,,,,,,,,,,,,,,6ofu6yc2qwp5ii9cerdq1tk9h,Wojciech Szczęsny,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Barcelona
2781056761,12,6,1,0,22,4ku8o6uf87yd8iecdalipo6wd,1,96.8,48.4,5541824429,56,Center,5541824619,233,6,5541824431,75,,,,,,,,,,,,,,,,,9ikkuxd19avliz1khcrm82gyy,J. Alvarez,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Atletico Madrid
2781057079,13,1,1,0,43,4ku8o6uf87yd8iecdalipo6wd,1,99.5,0.5,5541826093,212,21.5,5541826089,140,79.7,5541826095,213,2.89,5541826085,6,,5541826091,141,8.4,5541826087,56,Right,,,,,,,716n1970vi9rvw5b4w9qmjfth,A. Griezmann,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Atletico Madrid
2781057089,14,1,1,0,44,4ku8o6uf87yd8iecdalipo6wd,1,79.7,8.4,5541833163,154,,5541826163,213,6.18,5541826155,56,Right,5541826159,141,7.5,5541826157,140,85.2,5541833161,210,13,5541826161,212,5.8,,,,3ga7qj3h3dbmqucxmaxhmrjdh,R. De Paul,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Atletico Madrid
2781057115,15,1,1,0,45,4ku8o6uf87yd8iecdalipo6wd,1,85.4,7.5,5541826351,56,Center,5541826359,213,1.36,5541826349,155,,5541826355,141,46.2,5541831575,218,,5541826353,140,90.8,5541826357,212,26.9,5541826347,2,,716n1970vi9rvw5b4w9qmjfth,A. Griezmann,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Atletico Madrid
2781057165,16,44,1,0,47,4ku8o6uf87yd8iecdalipo6wd,1,91.1,45.8,5541826653,56,Center,5541826655,286,,5541826743,233,7,,,,,,,,,,,,,,,,3gsprcdyogabeb8lr2y0bmytx,C. Lenglet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Atletico Madrid
2781057129,7,44,1,0,47,agh9ifb2mw3ivjusgedj7c3fe,0,8.9,54.2,5541826449,56,Back,5541826451,285,,5541826751,233,16,,,,,,,,,,,,,,,,bkwxem45cf48k14euwqe7rs44,Pau Cubarsí,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Barcelona
2781057175,17,13,1,0,47,4ku8o6uf87yd8iecdalipo6wd,1,90.8,46.2,5541833187,73,,5541833189,29,,5541832067,25,,5541833191,154,,5541833209,231,49.3,5541833203,146,98.4,5541832073,328,,5541833207,230,99.1,3gsprcdyogabeb8lr2y0bmytx,C. Lenglet,,5541833199,103,13.9,5541826719,56,5541833201,391,,5541833197,102,5541842363,21,,5541826717,17,1,Center,61.2,5541832075,153,5541833205,147,54.7,5541833193,55,14,,,,,,,,,,,,,Atletico Madrid
2781057217,18,16,1,0,49,4ku8o6uf87yd8iecdalipo6wd,1,97.4,56.3,5541830493,61,,5541830497,374,31:30.7,5541826999,56,Center,5542094411,136,,5541831591,76,,5541830501,375,00:49.2,5541831605,214,,5541831601,102,53.2,9ikkuxd19avliz1khcrm82gyy,J. Alvarez,,5541831611,217,,5541831595,154,5541831607,108,,5541831613,216,5541830489,20,,5541831603,103,,,15,5541831617,230,5541831609,328,,5541830487,25,,5.7,99.9,5541831597,55,17,5541831593,29,5541831619,231,52.2,,,Atletico Madrid
2781058131,8,1,1,1,50,agh9ifb2mw3ivjusgedj7c3fe,1,49.9,50.4,5541832145,140,40.8,5541832153,279,G,5541832143,56,Back,5541832147,141,36,5541833131,189,,5541832151,213,3.94,5541832149,212,13.7,,,,2szgrzcosfeifh664tgt3mfvt,Ferran Torres,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Barcelona
2781058137,9,1,1,1,55,agh9ifb2mw3ivjusgedj7c3fe,1,41.3,32.5,5541832191,140,64.8,5541833621,189,,5541832197,213,0.12,5541832193,141,36.7,5541832189,56,Center,5541832195,212,24.8,,,,,,,bkwxem45cf48k14euwqe7rs44,Pau Cubarsí,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Barcelona
2781058149,10,1,1,1,59,agh9ifb2mw3ivjusgedj7c3fe,1,65.7,37.1,5541832253,213,5.72,5541832243,140,74.1,5541832239,56,Center,5541832249,212,10.4,5541832247,141,28.9,,,,,,,,,,2szgrzcosfeifh664tgt3mfvt,Ferran Torres,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Barcelona
2781058629,22,4,1,2,3,4ku8o6uf87yd8iecdalipo6wd,1,23.4,71,5541835135,285,,5541835129,56,Back,5541835133,265,,5541835127,13,,5541835525,233,11,5541835131,152,,,,,,,,40gxfsz7bgrkdudqewlpxzyzt,Javi Galán,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Atletico Madrid
2781058169,11,4,1,2,3,agh9ifb2mw3ivjusgedj7c3fe,0,76.6,29,5541832337,56,Center,5541835449,13,,5541835451,152,,5541835453,265,,5541835557,233,22,5541834573,286,,,,,,,,4gq1u1mqg0qzekh1u5djleeax,Dani Olmo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Barcelona
2781058179,19,43,1,2,5,4ku8o6uf87yd8iecdalipo6wd,1,0,0,5541839721,144,49,,,,,,,,,,,,,,,,,,,,,,7drgir9lcwfst8vxz07jboe6t,J. Musso,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Atletico Madrid
2781058563,20,43,1,2,34,4ku8o6uf87yd8iecdalipo6wd,1,0,0,5541835219,144,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Atletico Madrid
2781058607,21,43,1,2,39,4ku8o6uf87yd8iecdalipo6wd,1,0,0,5541834947,55,20,5541835297,144,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Atletico Madrid
2781058723,23,1,1,2,47,4ku8o6uf87yd8iecdalipo6wd,0,22.5,67,5541835715,140,64.9,5541835721,212,45.3,5541874895,152,,5541874893,5,,5541835727,1,,5542048197,157,,5541835711,56,Center,5541835725,213,6.09,3gsprcdyogabeb8lr2y0bmytx,C. Lenglet,,5541835719,141,54.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Atletico Madrid
2781058763,12,1,1,2,51,agh9ifb2mw3ivjusgedj7c3fe,1,43,40,5541835907,213,6.1,5541835897,3,,5541835903,141,36,5541835905,212,14.7,5541835899,56,Center,5541835901,140,56.8,,,,,,,ezviixcyaaj162saxs2yl27s9,Frenkie de Jong,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Barcelona
2781058783,13,1,1,2,52,agh9ifb2mw3ivjusgedj7c3fe,0,56.8,36,5541835995,213,5.23,5541835989,140,62.5,5541835987,56,Right,5541835993,212,12,5541835991,141,20.7,,,,,,,,,,4ftlhtels58lyzfluwofzwxuy,Pedri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Barcelona
2781058835,24,1,1,2,54,4ku8o6uf87yd8iecdalipo6wd,1,42.4,72.6,5541836251,140,39.2,5541836249,56,Back,5541836255,212,12.6,5541836253,141,90.4,5541836257,213,1.84,,,,,,,,,,9e7ybe0nsu3byq2tteey3zuy2,Pablo Barrios,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Atletico Madrid
2781058843,25,61,1,2,57,4ku8o6uf87yd8iecdalipo6wd,0,42.3,92.3,5541836269,56,Back,,,,,,,,,,,,,,,,,,,,,,40gxfsz7bgrkdudqewlpxzyzt,Javi Galán,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Atletico Madrid
2781058849,14,43,1,2,58,agh9ifb2mw3ivjusgedj7c3fe,1,0,0,5541836283,56,Right,5541836285,285,0,5541836887,144,7,,,,,,,,,,,,,,,,cscn06kwqfzo09h0dc5ybt1pl,Jules Koundé,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Barcelona
2781058859,15,1,1,2,59,agh9ifb2mw3ivjusgedj7c3fe,1,56.7,6.2,5541836337,213,6.01,5541836335,212,2.3,5541836329,56,Right,5541836333,141,5.3,5541836331,140,58.8,,,,,,,,,,cscn06kwqfzo09h0dc5ybt1pl,Jules Koundé,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Barcelona
2781058861,16,49,1,2,59,agh9ifb2mw3ivjusgedj7c3fe,1,58.8,5.3,,,,,,,,,,,,,,,,,,,,,,,,,4ftlhtels58lyzfluwofzwxuy,Pedri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Barcelona
2781058887,17,1,1,2,59,agh9ifb2mw3ivjusgedj7c3fe,1,58.8,5.3,5541836533,140,67.2,5541836535,141,5.6,5541836537,212,8.8,5541836539,213,0.02,5541836531,56,Right,,,,,,,,,,4ftlhtels58lyzfluwofzwxuy,Pedri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Barcelona
2781058891,18,61,1,3,2,agh9ifb2mw3ivjusgedj7c3fe,0,68.3,6.4,5541836557,56,Right,,,,,,,,,,,,,,,,,,,,,,abr79wsl0folgkyvl821ggs2c,Lamine Yamal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Barcelona
2781058881,26,1,1,3,3,4ku8o6uf87yd8iecdalipo6wd,1,32.8,83.8,5541836505,56,Back,5542052009,141,90.8,5542052017,213,1.91,5542052013,212,5,5542052007,140,31.2,,,,,,,,,,40gxfsz7bgrkdudqewlpxzyzt,Javi Galán,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Atletico Madrid
2781058923,27,4,1,3,5,4ku8o6uf87yd8iecdalipo6wd,1,33.2,95,5541836747,13,,5541836873,285,,5541836777,233,19,5541836755,265,,5541836749,56,Back,5541836751,152,,,,,,,,c83h08n0vnjvfgglyefy03h0p,C. Gallagher,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Atletico Madrid
2781058913,19,4,1,3,5,agh9ifb2mw3ivjusgedj7c3fe,0,66.8,5,5541836705,152,,5541836837,286,,5541836799,233,27,5541836703,56,Right,5541836707,265,,5541836701,13,,,,,,,,cscn06kwqfzo09h0dc5ybt1pl,Jules Koundé,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Barcelona
2781059173,28,1,1,3,28,4ku8o6uf87yd8iecdalipo6wd,1,31.9,95.8,5541838169,5,,5541838171,152,,5541838179,212,11.9,5541838175,140,20.9,5541838173,56,Back,5541838183,213,3.4,5541838177,141,91.3,,,,40gxfsz7bgrkdudqewlpxzyzt,Javi Galán,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Atletico Madrid
2781059219,29,1,1,3,31,4ku8o6uf87yd8iecdalipo6wd,1,20.7,90.5,5541838397,141,13.5,5541838389,155,,5541838395,140,22.6,5541838393,56,Back,5541838401,213,4.75,5541838391,196,,5541838403,1,,5541838399,212,52.4,3gsprcdyogabeb8lr2y0bmytx,C. Lenglet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Atletico Madrid
2781059241,30,1,1,3,34,4ku8o6uf87yd8iecdalipo6wd,1,21.7,12.9,5541838505,56,Back,5541838513,213,2.29,5541838507,140,13.1,5541838511,212,13.8,5541838509,141,28.2,,,,,,,,,,amxunh6enoc99r07cp7qt621h,Marcos Llorente,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Atletico Madrid
2781059273,31,1,1,3,36,4ku8o6uf87yd8iecdalipo6wd,1,12.4,28.9,5541838671,140,14.4,5541838669,56,Back,5541838677,213,4.87,5541838673,141,9.3,5541838675,212,13.5,,,,,,,,,,548jzfl9higq44w9bgqvcjh05,J. Giménez,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Atletico Madrid
2781059315,32,1,1,3,39,4ku8o6uf87yd8iecdalipo6wd,1,20.2,4.9,5541838855,56,Back,5541838863,213,0.07,5541838853,155,,5541838861,212,23.9,5541838859,141,7.5,5541838857,140,42.9,,,,,,,amxunh6enoc99r07cp7qt621h,Marcos Llorente,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Atletico Madrid
2781059339,33,1,1,3,42,4ku8o6uf87yd8iecdalipo6wd,1,44.9,8.6,5541839009,140,47.3,5541839013,141,28.9,5541839023,213,1.39,5541839019,212,14,5541839005,56,Back,,,,,,,,,,716n1970vi9rvw5b4w9qmjfth,A. Griezmann,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Atletico Madrid
2781059387,34,1,1,3,44,4ku8o6uf87yd8iecdalipo6wd,0,47.8,29.4,5541839229,56,Right,5541839235,212,36.8,5541839233,141,12.3,5541839237,213,5.96,5541839227,155,,5541839231,140,81.1,5541839239,1,,,,,9ikkuxd19avliz1khcrm82gyy,J. Alvarez,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Atletico Madrid
2781059401,20,59,1,3,47,agh9ifb2mw3ivjusgedj7c3fe,1,23.5,80.3,5541839275,56,Back,,,,,,,,,,,,,,,,,,,,,,6ofu6yc2qwp5ii9cerdq1tk9h,Wojciech Szczęsny,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Barcelona
2781059431,21,1,1,3,48,agh9ifb2mw3ivjusgedj7c3fe,0,24,81.5,5541839433,141,100,5541839429,56,Back,5541839435,212,30.4,5541839427,157,,5541839441,1,,5541839439,213,0.48,5541839431,140,49.7,,,,6ofu6yc2qwp5ii9cerdq1tk9h,Wojciech Szczęsny,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Barcelona
2781059437,22,5,1,3,50,agh9ifb2mw3ivjusgedj7c3fe,0,48,101.8,5541839573,233,35,5541839479,347,,5541839477,56,Back,,,,,,,,,,,,,,,,6ofu6yc2qwp5ii9cerdq1tk9h,Wojciech Szczęsny,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Barcelona
2781059447,35,5,1,3,50,4ku8o6uf87yd8iecdalipo6wd,1,52,-1.8,5541839545,56,Right,5541839547,347,,5541839551,233,22,,,,,,,,,,,,,,,,9ikkuxd19avliz1khcrm82gyy,J. Alvarez,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Atletico Madrid
2781059539,36,1,1,4,0,4ku8o6uf87yd8iecdalipo6wd,1,52.2,0,5541840011,140,58.5,5541840019,213,0.78,5541840009,56,Right,5541840017,212,9.3,5541840007,107,,5541840013,141,8.6,,,,,,,amxunh6enoc99r07cp7qt621h,Marcos Llorente,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Atletico Madrid
2781059551,37,1,1,4,1,4ku8o6uf87yd8iecdalipo6wd,0,58.5,8.6,5541840105,212,4.5,5541840103,141,13.4,5541840097,168,,5541840099,56,Right,5541840101,140,61.4,5541840107,213,0.82,,,,,,,716n1970vi9rvw5b4w9qmjfth,A. Griezmann,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Atletico Madrid
2781059543,23,61,1,4,1,agh9ifb2mw3ivjusgedj7c3fe,1,39.1,84.2,5541840063,56,Back,,,,,,,,,,,,,,,,,,,,,,ezviixcyaaj162saxs2yl27s9,Frenkie de Jong,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Barcelona
2781059593,38,1,1,4,3,4ku8o6uf87yd8iecdalipo6wd,1,45.6,12.9,5541840317,213,3.98,5541840313,141,4.2,5541840315,212,8,5541840311,140,40.5,5541840309,56,Back,,,,,,,,,,3ga7qj3h3dbmqucxmaxhmrjdh,R. De Paul,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Atletico Madrid
