id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,assist,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/9/value,keyPass,qualifier/13/value,qualifier/14/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/12/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/19/id,qualifier/19/qualifierId,qualifier/19/value,qualifier/11/value,,teamName
2772969073,12,50,1,0,24,agh9ifb2mw3ivjusgedj7c3fe,1,20.2,14,5497729273,56,Back,5497729275,285,,5497729305,233,4,,,,,,,,,,,,,,,,cscn06kwqfzo09h0dc5ybt1pl,Jules Kounde,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Barcelona
2772969055,4,7,1,0,24,ba5e91hjacvma2sjvixn00pjo,1,79.8,86,5497729191,286,,5497729285,233,12,5497729189,56,Left,,,,,,,,,,,,,,,,dtvmsnqlzn5672xb54zj8u7dh,U. Sadiq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Valencia
2772969059,5,49,1,0,25,ba5e91hjacvma2sjvixn00pjo,1,78.6,77.9,,,,,,,,,,,,,,,,,,,,,,,,,dtvmsnqlzn5672xb54zj8u7dh,U. Sadiq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Valencia
2772969065,6,1,1,0,25,ba5e91hjacvma2sjvixn00pjo,0,78.6,77.9,5497745537,4,,5497729233,140,88.1,5497729239,213,5.83,5497729231,56,Center,5497729235,141,70.7,5497729237,212,11.1,,,,,,,dtvmsnqlzn5672xb54zj8u7dh,U. Sadiq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Valencia
2772985745,528,8,1,0,26,agh9ifb2mw3ivjusgedj7c3fe,1,13,36,5497822163,56,Back,,,,,,,,,,,,,,,,,,,,,,ezviixcyaaj162saxs2yl27s9,Frenkie de Jong,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Barcelona
2772969079,13,49,1,0,27,agh9ifb2mw3ivjusgedj7c3fe,1,9.2,35.4,,,,,,,,,,,,,,,,,,,,,,,,,ezviixcyaaj162saxs2yl27s9,Frenkie de Jong,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Barcelona
2772969085,14,1,1,0,27,agh9ifb2mw3ivjusgedj7c3fe,1,9.8,35.2,5497729323,56,Back,5497729329,212,13.8,5497729325,140,22.5,5497729331,213,0.25,5497729327,141,40.3,,,,,,,,,,ezviixcyaaj162saxs2yl27s9,Frenkie de Jong,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Barcelona
2772969103,15,1,1,0,28,agh9ifb2mw3ivjusgedj7c3fe,1,25.5,37.6,5497729407,56,Back,5497729409,140,11,5497729413,212,20.6,5497729411,141,17.2,5497729415,213,3.88,,,,,,,,,,cjll1xrw3xulnl23c9tlf6rys,Fermin Lopez,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Barcelona
2772985951,529,1,1,0,30,agh9ifb2mw3ivjusgedj7c3fe,0,13.4,16.2,5497823305,155,,5497823307,56,Back,5497823313,212,42.8,5497823309,140,46.6,5497823315,213,0.62,5497823311,141,52.8,5497823317,1,,,,,ezviixcyaaj162saxs2yl27s9,Frenkie de Jong,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Barcelona
2772969115,7,49,1,0,33,ba5e91hjacvma2sjvixn00pjo,1,59.3,46.3,,,,,,,,,,,,,,,,,,,,,,,,,6o76owze8y78ue9sb49g8kyz8,Cristhian Mosquera,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Valencia
2772969121,8,1,1,0,33,ba5e91hjacvma2sjvixn00pjo,1,59.3,46.3,5497729509,56,Center,5497729513,141,56.6,5497729511,140,63.7,5497729515,212,8.4,5497729517,213,0.99,,,,,,,,,,6o76owze8y78ue9sb49g8kyz8,Cristhian Mosquera,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Valencia
2772969123,9,1,1,0,34,ba5e91hjacvma2sjvixn00pjo,1,63.7,56.6,5497729529,213,5.41,5497729527,212,5.6,5497729523,140,67.1,5497729525,141,50.3,5497729521,56,Center,,,,,,,,,,3702btkgwxf6tq92ouekd7ro5,Pepelu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Valencia
2772969125,10,1,1,0,35,ba5e91hjacvma2sjvixn00pjo,0,67.1,50.3,5497729541,213,0,5497729539,212,1.2,5497823561,236,,5497729535,140,68.2,5497729533,56,Center,5497823563,233,16,5497823567,286,,5497729537,141,50.3,e7del0ovpcpntqdgh8idxok4p,Hugo Guillamón,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Valencia
2772969127,16,74,1,0,35,agh9ifb2mw3ivjusgedj7c3fe,1,24.6,45.7,5497729543,56,Back,5497823569,233,10,5497823559,285,,,,,,,,,,,,,,,,,4ggz7e009bq3yltc9o6mifbah,Eric Garcia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Barcelona
2772984947,266,1,1,0,38,ba5e91hjacvma2sjvixn00pjo,0,76.9,57.2,5497817839,213,5.45,5497817833,140,81.2,5497817835,141,49.9,5497817831,56,Center,5497817837,212,6.7,,,,,,,,,,dtvmsnqlzn5672xb54zj8u7dh,U. Sadiq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Valencia
2772969133,17,12,1,0,40,agh9ifb2mw3ivjusgedj7c3fe,1,20.9,47.2,5497729591,141,35.4,5497729595,213,5.42,5497729587,56,Back,5497729593,212,10.5,5497729589,140,27.4,,,,,,,,,,bkwxem45cf48k14euwqe7rs44,Pau Cubarsi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Barcelona
2772969137,18,49,1,0,41,agh9ifb2mw3ivjusgedj7c3fe,1,27.8,29.5,,,,,,,,,,,,,,,,,,,,,,,,,cjll1xrw3xulnl23c9tlf6rys,Fermin Lopez,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Barcelona
2772969155,19,1,1,0,42,agh9ifb2mw3ivjusgedj7c3fe,1,27.8,29.5,5497729697,141,13.5,5497729693,140,35.3,5497729705,213,5.34,5497729701,212,13.4,5497729687,56,Back,,,,,,,,,,cjll1xrw3xulnl23c9tlf6rys,Fermin Lopez,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Barcelona
2772969151,11,59,1,0,47,ba5e91hjacvma2sjvixn00pjo,1,27.7,57,5497729673,56,Back,,,,,,,,,,,,,,,,,,,,,,5dfvefxvwj8kixbajluw25mtx,S. Dimitrievski,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Valencia
2772969159,12,1,1,0,48,ba5e91hjacvma2sjvixn00pjo,0,22.1,58.3,5497729711,56,Left,5497729715,141,97.7,5497729713,140,60.7,5497729717,212,48.6,5497818523,157,,5497818525,1,,5497729719,213,0.58,,,,5dfvefxvwj8kixbajluw25mtx,S. Dimitrievski,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Valencia
2772969163,20,1,1,0,48,agh9ifb2mw3ivjusgedj7c3fe,0,36.9,6.8,5497729739,212,46.3,5497729743,1,,5497729741,213,0.66,5497824483,4,,5497729737,141,48.5,5497729733,56,Center,5497729735,140,71.8,,,,abr79wsl0folgkyvl821ggs2c,Lamine Yamal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Barcelona
2772986267,530,61,1,0,51,agh9ifb2mw3ivjusgedj7c3fe,1,34.4,14,5497825063,189,,5497825005,56,Back,,,,,,,,,,,,,,,,,,,cscn06kwqfzo09h0dc5ybt1pl,Jules Kounde,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Barcelona
2772986303,531,1,1,0,53,agh9ifb2mw3ivjusgedj7c3fe,0,44.8,4.7,5497825919,233,267,5497825177,56,Back,5497825183,212,5.1,5497825181,141,5.8,5497825185,213,0.15,5497825915,236,,5497825927,286,,5497825179,140,49.6,cjll1xrw3xulnl23c9tlf6rys,Fermin Lopez,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Barcelona
2772985257,267,74,1,0,53,ba5e91hjacvma2sjvixn00pjo,1,53.5,93.9,5497825901,285,,5497819545,56,Left,5497825951,233,531,,,,,,,,,,,,,,,,3702btkgwxf6tq92ouekd7ro5,Pepelu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Valencia
2772969165,13,5,1,0,58,ba5e91hjacvma2sjvixn00pjo,0,47.6,101.2,5497730089,233,21,5497729747,347,,5497729745,56,Back,,,,,,,,,,,,,,,,5dfvefxvwj8kixbajluw25mtx,S. Dimitrievski,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Valencia
2772969211,21,5,1,0,58,agh9ifb2mw3ivjusgedj7c3fe,1,52.4,-1.2,5497730069,347,,5497730083,233,13,5497730067,56,Right,,,,,,,,,,,,,,,,cjll1xrw3xulnl23c9tlf6rys,Fermin Lopez,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Barcelona
2772969217,22,1,1,1,12,agh9ifb2mw3ivjusgedj7c3fe,1,43.2,0,5497730117,213,2.07,5497730115,212,20.3,5497730111,140,33.9,5497730109,56,Back,5497730113,141,24.1,5497730107,107,,,,,,,,cscn06kwqfzo09h0dc5ybt1pl,Jules Kounde,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Barcelona
2772969223,23,1,1,1,13,agh9ifb2mw3ivjusgedj7c3fe,1,33.9,24.1,5497730151,213,1.45,5497730147,212,24.5,5497730141,56,Back,5497730145,141,59.9,5497730143,140,36.8,,,,,,,,,,4ggz7e009bq3yltc9o6mifbah,Eric Garcia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Barcelona
2772969249,24,1,1,1,14,agh9ifb2mw3ivjusgedj7c3fe,1,36.8,59.9,5497730259,56,Back,5497730267,213,1.17,5497730263,141,83.3,5497730265,212,17.3,5497730261,140,43.2,,,,,,,,,,bkwxem45cf48k14euwqe7rs44,Pau Cubarsi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Barcelona
2772969259,25,1,1,1,18,agh9ifb2mw3ivjusgedj7c3fe,1,43.1,84.1,5497730317,213,4.15,5497730309,56,Back,5497730313,141,70,5497730311,140,37.4,5497730315,212,11.3,,,,,,,,,,4ftlhtels58lyzfluwofzwxuy,Pedri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Barcelona
2772969269,26,1,1,1,19,agh9ifb2mw3ivjusgedj7c3fe,0,37.4,70,5497730389,141,93.8,5497730393,213,0.24,5497730395,1,,5497730391,212,68.1,5497730385,56,Left,5497730383,155,,5497730387,140,100,,,,bkwxem45cf48k14euwqe7rs44,Pau Cubarsi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Barcelona
2772969319,14,5,1,1,23,ba5e91hjacvma2sjvixn00pjo,1,-0.6,7.2,5497730683,346,,5497730681,56,Back,5497730745,233,27,,,,,,,,,,,,,,,,eucssbf7wamb41y1gixfodivp,M. Diakhaby,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Valencia
2772969283,27,5,1,1,23,agh9ifb2mw3ivjusgedj7c3fe,0,100.6,92.8,5497730749,233,14,5497730471,346,,5497730469,56,Left,,,,,,,,,,,,,,,,bkwxem45cf48k14euwqe7rs44,Pau Cubarsi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Barcelona
2772969399,15,1,1,1,52,ba5e91hjacvma2sjvixn00pjo,1,4.9,60.9,5497731131,141,86,5497731119,124,,5497731133,212,20.5,5497731137,213,0.98,5497731123,56,Back,5497731143,237,,5497731127,140,15.7,,,,eucssbf7wamb41y1gixfodivp,M. Diakhaby,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Valencia
2772969407,16,1,1,1,55,ba5e91hjacvma2sjvixn00pjo,1,15.7,86,5497731199,140,12.8,5497731201,141,69.9,5497731203,212,11.4,5497731207,213,4.44,5497731197,56,Back,,,,,,,,,,cmdeqxibr6holfqg17ap9uihg,Yarek Gąsiorowski,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Valencia
2772969427,17,1,1,1,56,ba5e91hjacvma2sjvixn00pjo,1,12.8,69.9,5497731309,212,13.7,5497731311,213,4.14,5497731307,141,53,5497731303,56,Back,5497731305,140,5.7,,,,,,,,,,eucssbf7wamb41y1gixfodivp,M. Diakhaby,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Valencia
2772969451,18,1,1,1,58,ba5e91hjacvma2sjvixn00pjo,0,6.4,48.2,5497731411,212,62.2,5497731415,1,,5497731409,141,31.4,5497731413,213,6.1,5497731405,56,Center,5497731403,155,,5497731407,140,64.6,,,,5dfvefxvwj8kixbajluw25mtx,S. Dimitrievski,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Valencia
2772969455,28,49,1,2,4,agh9ifb2mw3ivjusgedj7c3fe,1,33.5,74.7,,,,,,,,,,,,,,,,,,,,,,,,,bkwxem45cf48k14euwqe7rs44,Pau Cubarsi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Barcelona
2772969471,29,1,1,2,5,agh9ifb2mw3ivjusgedj7c3fe,1,34.5,73.8,5497731519,141,94.1,5497731523,213,1.38,5497731521,212,14.1,5497731515,56,Back,5497731517,140,37,,,,,,,,,,bkwxem45cf48k14euwqe7rs44,Pau Cubarsi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Barcelona
2772969489,30,1,1,2,8,agh9ifb2mw3ivjusgedj7c3fe,1,36.9,93.2,5497731597,213,4.25,5497731589,56,Back,5497731593,141,80.5,5497731591,140,32.8,5497731595,212,9.6,,,,,,,,,,bzgh5psb1janz9y3btpswngbu,Alejandro Balde,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Barcelona
2772969513,31,1,1,2,10,agh9ifb2mw3ivjusgedj7c3fe,1,33.3,79.3,5497731709,212,23.8,5497731711,213,4.84,5497731703,56,Back,5497731705,140,36.1,5497731707,141,44.6,,,,,,,,,,bkwxem45cf48k14euwqe7rs44,Pau Cubarsi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Barcelona
2772969531,32,1,1,2,15,agh9ifb2mw3ivjusgedj7c3fe,1,41.9,32.4,5497731767,141,60.2,5497731763,56,Back,5497731769,212,18.9,5497731771,213,1.5,5497731765,140,43.1,,,,,,,,,,4ggz7e009bq3yltc9o6mifbah,Eric Garcia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Barcelona
2772969543,33,1,1,2,18,agh9ifb2mw3ivjusgedj7c3fe,1,45.4,66.4,5497731835,212,22.7,5497731831,140,54.7,5497731833,141,96.6,5497731829,56,Left,5497731837,213,1.13,,,,,,,,,,bkwxem45cf48k14euwqe7rs44,Pau Cubarsi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Barcelona
2772969549,34,1,1,2,21,agh9ifb2mw3ivjusgedj7c3fe,1,54.7,96.6,5497731871,141,90.8,5497731875,213,5.6,5497731869,140,59.3,5497731873,212,6.2,5497731867,56,Left,,,,,,,,,,bzgh5psb1janz9y3btpswngbu,Alejandro Balde,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Barcelona
2772969559,35,1,1,2,23,agh9ifb2mw3ivjusgedj7c3fe,1,59.3,90.8,5497731951,212,5.2,5497731953,213,2.9,5497731947,140,54.5,5497731943,56,Left,5497731949,141,92.6,,,,,,,,,,2wl6h1rlrfnn2mr65vuo3t815,Raphinha,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Barcelona
2772969565,36,1,1,2,24,agh9ifb2mw3ivjusgedj7c3fe,1,54.5,92.6,5497731977,213,3.69,5497731969,56,Back,5497731973,141,80.5,5497731971,140,41.7,5497731975,212,15.8,,,,,,,,,,bzgh5psb1janz9y3btpswngbu,Alejandro Balde,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Barcelona
2772969571,37,1,1,2,25,agh9ifb2mw3ivjusgedj7c3fe,1,41.7,80.5,5497732001,213,5.33,5497731995,140,45.6,5497731993,56,Back,5497731999,212,7,5497731997,141,72.1,,,,,,,,,,bkwxem45cf48k14euwqe7rs44,Pau Cubarsi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Barcelona
2772969593,38,1,1,2,26,agh9ifb2mw3ivjusgedj7c3fe,1,45.6,72.1,5497732167,140,44.8,5497732165,56,Back,5497732171,212,13.6,5497732173,213,1.63,5497732169,141,92,,,,,,,,,,ezviixcyaaj162saxs2yl27s9,Frenkie de Jong,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Barcelona
2772969621,39,1,1,2,31,agh9ifb2mw3ivjusgedj7c3fe,1,55.9,94.2,5497732351,213,5.71,5497732823,4,,5497732353,1,,5497732349,212,43.1,5497733813,154,,5497733809,210,16,5497732347,141,59.9,5497732343,56,Center,bzgh5psb1janz9y3btpswngbu,Alejandro Balde,1,5497732345,140,90.4,5497733817,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Barcelona
