id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,keyPass,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/8/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,assist,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,teamName
2806599343,9,1,1,0,18,agh9ifb2mw3ivjusgedj7c3fe,1,36,18,2025-04-26T20:01:08.792Z,2025-04-26T20:01:10Z,5682114981,140,12.3,5682114987,213,2.8,5682114983,141,31,5682114979,56,Back,5682114985,212,26.4,,,,,,,,,,cscn06kwqfzo09h0dc5ybt1pl,Jules Koundé,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Barcelona
2806599369,10,1,1,0,19,agh9ifb2mw3ivjusgedj7c3fe,1,11.8,31.5,2025-04-26T20:01:10.183Z,2025-04-26T20:01:13Z,5682115205,212,20.4,5682115199,56,Back,5682115203,141,58.8,5682115207,213,2,5682115201,140,3.8,,,,,,,,,,bkwxem45cf48k14euwqe7rs44,Pau Cubarsí,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Barcelona
2806599389,11,1,1,0,22,agh9ifb2mw3ivjusgedj7c3fe,1,3.9,59,2025-04-26T20:01:13.207Z,2025-04-26T20:01:15Z,5682115319,56,Back,5682115321,140,10.1,5682115327,213,1.26,5682115323,141,89.1,5682115325,212,21.5,,,,,,,,,,6ofu6yc2qwp5ii9cerdq1tk9h,Wojciech Szczęsny,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Barcelona
2806599423,12,1,1,0,25,agh9ifb2mw3ivjusgedj7c3fe,1,11.5,93.3,2025-04-26T20:01:15.464Z,2025-04-26T20:01:20Z,5682115573,56,Back,5682115581,213,0.18,5682115575,140,24.3,5682115577,141,96.8,5682115571,155,,5682115579,212,13.6,,,,,,,cd5napttmwk5o9gxw3cbb4ted,Iñigo Martínez,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Barcelona
2806599457,13,1,1,0,29,agh9ifb2mw3ivjusgedj7c3fe,1,38.2,88.1,2025-04-26T20:01:20.184Z,2025-04-26T20:01:23Z,5682115827,140,33.6,5682115829,141,70,5682115831,212,13.2,5682115825,56,Back,5682115833,213,4.34,,,,,,,,,,6l1y87tlepsvr83d8y2qifeqy,Gerard Martín,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Barcelona
2806599491,14,1,1,0,33,agh9ifb2mw3ivjusgedj7c3fe,1,33.2,69.4,2025-04-26T20:01:23.336Z,2025-04-26T20:01:25Z,5682115979,141,33,5682115983,213,4.55,5682115977,140,29.4,5682115981,212,25.1,5682115975,56,Back,,,,,,,,,,4ftlhtels58lyzfluwofzwxuy,Pedri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Barcelona
2806599543,15,1,1,0,35,agh9ifb2mw3ivjusgedj7c3fe,1,31.1,30.3,2025-04-26T20:01:25.352Z,2025-04-26T20:01:30Z,5682116279,141,12.8,5682116283,213,5,5682116277,140,34.5,5682116275,56,Back,5682116281,212,12.4,,,,,,,,,,bkwxem45cf48k14euwqe7rs44,Pau Cubarsí,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Barcelona
2806599559,16,1,1,0,40,agh9ifb2mw3ivjusgedj7c3fe,1,34,27.7,2025-04-26T20:01:30.552Z,2025-04-26T20:01:32Z,5682116367,212,19.7,5682116365,141,32.2,5682116363,140,15.5,5682116369,213,2.99,5682116361,56,Back,,,,,,,,,,cscn06kwqfzo09h0dc5ybt1pl,Jules Koundé,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Barcelona
2806599593,17,1,1,0,42,agh9ifb2mw3ivjusgedj7c3fe,1,13.3,37.3,2025-04-26T20:01:32.456Z,2025-04-26T20:01:36Z,5682116549,212,17.6,5682116551,213,1.82,5682116547,141,62.3,5682116543,56,Back,5682116545,140,9.1,,,,,,,,,,bkwxem45cf48k14euwqe7rs44,Pau Cubarsí,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Barcelona
2806599625,18,1,1,0,45,agh9ifb2mw3ivjusgedj7c3fe,1,9.4,66.3,2025-04-26T20:01:35.912Z,2025-04-26T20:01:39Z,5682116699,141,82.3,5682116701,212,11.1,5682116697,140,11.7,5682116703,213,1.35,5682116695,56,Back,,,,,,,,,,6ofu6yc2qwp5ii9cerdq1tk9h,Wojciech Szczęsny,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Barcelona
2806599647,19,1,1,0,49,agh9ifb2mw3ivjusgedj7c3fe,1,4.4,79.4,2025-04-26T20:01:39.512Z,2025-04-26T20:01:41Z,5682116819,212,13.7,5682116821,213,1.07,5682116817,141,97.1,5682116813,56,Back,5682116815,140,10.6,,,,,,,,,,cd5napttmwk5o9gxw3cbb4ted,Iñigo Martínez,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Barcelona
2806599659,20,1,1,0,51,agh9ifb2mw3ivjusgedj7c3fe,1,11.6,96.6,2025-04-26T20:01:41.288Z,2025-04-26T20:01:42Z,5682116899,141,86.5,5682116897,140,26.1,5682116903,213,5.86,5682116901,212,16.7,5682116895,56,Back,,,,,,,,,,6l1y87tlepsvr83d8y2qifeqy,Gerard Martín,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Barcelona
2806599673,21,1,1,0,52,agh9ifb2mw3ivjusgedj7c3fe,0,27.1,86.6,2025-04-26T20:01:42.728Z,2025-04-26T20:01:44Z,5682117013,56,Back,5682117023,213,0.35,5682117021,212,20.3,5682117019,141,96.8,5682117017,140,45.3,,,,,,,,,,cd5napttmwk5o9gxw3cbb4ted,Iñigo Martínez,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Barcelona
2806599691,3,49,1,0,57,3kq9cckrnlogidldtdie2fkbl,1,72.5,9.8,2025-04-26T20:01:47.945Z,2025-04-26T20:01:48Z,,,,,,,,,,,,,,,,,,,,,,,,,atj6u4qul0o2ca57etbmes07o,Raúl Asencio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Real Madrid
2806599705,4,1,1,0,58,3kq9cckrnlogidldtdie2fkbl,0,72.5,9.8,2025-04-26T20:01:48.281Z,2025-04-26T20:01:48Z,5682117201,212,6.8,5682117193,140,77.7,5682117189,56,Right,5682117203,213,5.65,5682117197,141,3.9,,,,,,,,,,atj6u4qul0o2ca57etbmes07o,Raúl Asencio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Real Madrid
2806599697,22,8,1,0,58,agh9ifb2mw3ivjusgedj7c3fe,1,28,96.2,2025-04-26T20:01:48.360Z,2025-04-26T20:01:48Z,5682117171,56,Back,,,,,,,,,,,,,,,,,,,,,,6l1y87tlepsvr83d8y2qifeqy,Gerard Martín,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Barcelona
2806599725,23,49,1,1,1,agh9ifb2mw3ivjusgedj7c3fe,1,53.7,95.7,2025-04-26T20:01:51.432Z,2025-04-26T20:01:51Z,,,,,,,,,,,,,,,,,,,,,,,,,2wl6h1rlrfnn2mr65vuo3t815,Raphinha,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Barcelona
2806599751,24,1,1,1,2,agh9ifb2mw3ivjusgedj7c3fe,0,62.7,89.6,2025-04-26T20:01:52.328Z,2025-04-26T20:01:53Z,5682117443,213,5.33,5682117435,56,Center,5682117439,141,62.6,5682117441,212,22.5,5682117437,140,75.1,,,,,,,,,,2wl6h1rlrfnn2mr65vuo3t815,Raphinha,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Barcelona
2806599779,5,1,1,1,5,3kq9cckrnlogidldtdie2fkbl,1,27.2,40.4,2025-04-26T20:01:55.433Z,2025-04-26T20:02:18Z,5682117595,213,5.71,5682117587,56,Back,5682117593,212,8.9,5682117589,140,34.3,5682117591,141,33.3,,,,,,,,,,6fzbp94hf19ysotdassrqdc5x,A. Rüdiger,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Real Madrid
2806599785,6,49,1,1,6,3kq9cckrnlogidldtdie2fkbl,1,34.3,33.7,2025-04-26T20:01:56.761Z,2025-04-26T20:01:57Z,,,,,,,,,,,,,,,,,,,,,,,,,e83ula4wockmc2xid7185kcq2,J. Bellingham,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Real Madrid
2806599811,7,1,1,1,7,3kq9cckrnlogidldtdie2fkbl,1,31.1,42.6,2025-04-26T20:01:57.561Z,2025-04-26T20:02:00Z,5682117721,56,Back,5682117729,213,1.94,5682117727,212,23.9,5682117723,140,22.8,5682117725,141,75.4,,,,,,,,,,e83ula4wockmc2xid7185kcq2,J. Bellingham,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Real Madrid
2806599857,8,1,1,1,9,3kq9cckrnlogidldtdie2fkbl,1,21.6,75.4,2025-04-26T20:02:00.009Z,2025-04-26T20:02:04Z,5682117925,212,12.8,5682117923,141,83.5,5682117927,213,0.44,5682117919,56,Back,5682117921,140,32.6,,,,,,,,,,6q69l3ppqfqbryjubcrujfi6t,F. Mendy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Real Madrid
2806599855,25,83,1,1,13,agh9ifb2mw3ivjusgedj7c3fe,0,67.7,34.6,2025-04-26T20:02:03.929Z,2025-04-26T20:02:06Z,5682118007,399,e83ula4wockmc2xid7185kcq2,,,,,,,,,,,,,,,,,,,,,,ezviixcyaaj162saxs2yl27s9,Frenkie de Jong,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Barcelona
2806599861,9,1,1,1,13,3kq9cckrnlogidldtdie2fkbl,1,31.7,74.7,2025-04-26T20:02:04.217Z,2025-04-26T20:02:05Z,5682117957,141,88.4,5682117961,212,10.1,5682117949,56,Back,5682117965,213,1.97,5682117953,140,28,,,,,,,,,,e83ula4wockmc2xid7185kcq2,J. Bellingham,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Real Madrid
2806599871,10,1,1,1,15,3kq9cckrnlogidldtdie2fkbl,1,28,88.4,2025-04-26T20:02:05.433Z,2025-04-26T20:02:09Z,5682117993,140,39.2,5682117995,141,76.3,5682117999,213,5.67,5682117991,56,Back,5682117997,212,14.4,,,,,,,,,,6q69l3ppqfqbryjubcrujfi6t,F. Mendy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Real Madrid
2806599903,11,1,1,1,19,3kq9cckrnlogidldtdie2fkbl,0,40.1,92.9,2025-04-26T20:02:09.273Z,2025-04-26T20:02:10Z,5682118267,56,Left,5682118271,141,100,5682118269,140,54.6,5682118275,213,0.37,5682118273,212,16.4,,,,,,,,,,i48mf81fxn2af1xxjzfi8gr9,Dani Ceballos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Real Madrid
2806599907,12,5,1,1,19,3kq9cckrnlogidldtdie2fkbl,0,52.2,101.8,2025-04-26T20:02:10.126Z,2025-04-26T20:04:26Z,5682118283,347,,5682118281,56,Left,5682118515,233,26,,,,,,,,,,,,,,,,i48mf81fxn2af1xxjzfi8gr9,Dani Ceballos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Real Madrid
2806599947,26,5,1,1,19,agh9ifb2mw3ivjusgedj7c3fe,1,47.8,-1.8,2025-04-26T20:02:10.126Z,2025-04-26T20:04:26Z,5682118491,56,Back,5682118493,347,,5682118495,233,12,,,,,,,,,,,,,,,,4gq1u1mqg0qzekh1u5djleeax,Dani Olmo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Barcelona
2806599963,27,1,1,1,25,agh9ifb2mw3ivjusgedj7c3fe,1,48,0,2025-04-26T20:02:16.249Z,2025-04-26T20:02:18Z,5682118569,107,,5682118577,212,19.5,5682118573,140,34.1,5682118581,213,2.42,5682118625,189,,5682118575,141,18,5682118571,56,Back,,,,cscn06kwqfzo09h0dc5ybt1pl,Jules Koundé,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Barcelona
2806599995,28,1,1,1,30,agh9ifb2mw3ivjusgedj7c3fe,1,37.3,22.4,2025-04-26T20:02:20.393Z,2025-04-26T20:02:22Z,5682118785,212,18.5,5682118779,56,Back,5682118783,141,46.9,5682118819,189,,5682118787,213,1.12,5682118781,140,45,,,,,,,bkwxem45cf48k14euwqe7rs44,Pau Cubarsí,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Barcelona
2806600021,29,1,1,1,32,agh9ifb2mw3ivjusgedj7c3fe,1,43.5,53.7,2025-04-26T20:02:22.825Z,2025-04-26T20:02:24Z,5682118933,212,16,5682118935,213,1.76,5682118931,141,76.9,5682118929,140,40.7,5682118927,56,Back,,,,,,,,,,4ftlhtels58lyzfluwofzwxuy,Pedri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Barcelona
2806600087,30,1,1,1,33,agh9ifb2mw3ivjusgedj7c3fe,1,43.4,80.3,2025-04-26T20:02:24.025Z,2025-04-26T20:02:30Z,5682119281,56,Center,5682119289,213,6.12,5682119287,212,15.7,5682119285,141,76.6,5682119283,140,58.2,,,,,,,,,,cd5napttmwk5o9gxw3cbb4ted,Iñigo Martínez,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Barcelona
2806600075,13,83,1,1,38,3kq9cckrnlogidldtdie2fkbl,0,36.6,32,2025-04-26T20:02:29.130Z,2025-04-26T20:02:30Z,5682119329,399,2wl6h1rlrfnn2mr65vuo3t815,,,,,,,,,,,,,,,,,,,,,,b4witgokm49tidm1a83qcvbop,Vinícius Júnior,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Real Madrid
2806600089,31,61,1,1,39,agh9ifb2mw3ivjusgedj7c3fe,0,62.6,67.8,2025-04-26T20:02:29.898Z,2025-04-26T20:02:30Z,5682119303,56,Center,,,,,,,,,,,,,,,,,,,,,,2wl6h1rlrfnn2mr65vuo3t815,Raphinha,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Barcelona
2806600487,18,3,1,1,40,3kq9cckrnlogidldtdie2fkbl,1,32.2,43.4,2025-04-26T20:02:30.905Z,2025-04-26T20:03:09Z,5682121447,285,,5682121453,233,32,5682121445,56,Back,,,,,,,,,,,,,,,,e83ula4wockmc2xid7185kcq2,J. Bellingham,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Real Madrid
2806600103,32,45,1,1,40,agh9ifb2mw3ivjusgedj7c3fe,0,67.8,56.6,2025-04-26T20:02:30.905Z,2025-04-26T20:03:10Z,5682121491,233,18,5682119365,56,Center,5682119367,286,,,,,,,,,,,,,,,,,2wl6h1rlrfnn2mr65vuo3t815,Raphinha,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Barcelona
2806600121,14,1,1,1,41,3kq9cckrnlogidldtdie2fkbl,0,31.8,40.5,2025-04-26T20:02:31.898Z,2025-04-26T20:03:13Z,5682121807,140,32.3,5682121817,233,33,5682121813,213,5.48,5682121815,236,,5682121809,141,39.7,5682121811,212,0.8,5682119483,56,Back,5682121797,286,,e83ula4wockmc2xid7185kcq2,J. Bellingham,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Real Madrid
2806600145,33,74,1,1,41,agh9ifb2mw3ivjusgedj7c3fe,1,65.7,58.3,2025-04-26T20:02:31.899Z,2025-04-26T20:03:12Z,5682119637,56,Center,5682119639,285,,5682121821,233,14,,,,,,,,,,,,,,,,4ftlhtels58lyzfluwofzwxuy,Pedri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Barcelona
2806600189,34,1,1,1,44,agh9ifb2mw3ivjusgedj7c3fe,1,54.7,51.3,2025-04-26T20:02:35.145Z,2025-04-26T20:02:38Z,5682119851,140,57.6,5682119855,212,8.3,5682119853,141,62.7,5682119857,213,1.2,5682119849,56,Center,,,,,,,,,,ezviixcyaaj162saxs2yl27s9,Frenkie de Jong,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Barcelona
2806600219,35,1,1,1,48,agh9ifb2mw3ivjusgedj7c3fe,1,64.6,64.9,2025-04-26T20:02:38.778Z,2025-04-26T20:02:41Z,5682120031,56,Left,5682120039,213,0.96,5682120037,212,25,5682120035,141,95.1,5682120033,140,78.2,,,,,,,,,,4ftlhtels58lyzfluwofzwxuy,Pedri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Barcelona
2806600241,36,1,1,1,51,agh9ifb2mw3ivjusgedj7c3fe,1,79.8,94.1,2025-04-26T20:02:41.866Z,2025-04-26T20:02:44Z,5682120163,213,4.83,5682120155,56,Center,5682120161,212,18.8,5682120159,141,66.6,5682120157,140,81.9,,,,,,,,,,6l1y87tlepsvr83d8y2qifeqy,Gerard Martín,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Barcelona
2806600245,15,45,1,1,54,3kq9cckrnlogidldtdie2fkbl,0,16.6,35.2,2025-04-26T20:02:44.330Z,2025-04-26T21:00:44Z,5682120329,233,37,5682120181,285,,5682120179,56,Back,,,,,,,,,,,,,,,,atj6u4qul0o2ca57etbmes07o,Raúl Asencio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Real Madrid
2806600269,37,3,1,1,54,agh9ifb2mw3ivjusgedj7c3fe,1,83.4,64.8,2025-04-26T20:02:44.330Z,2025-04-26T21:00:43Z,5682120301,233,15,5682120277,286,,5682120275,56,Center,,,,,,,,,,,,,,,,2szgrzcosfeifh664tgt3mfvt,Ferran Torres,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Barcelona
2806600281,38,1,1,1,56,agh9ifb2mw3ivjusgedj7c3fe,0,93.5,69.5,2025-04-26T20:02:46.698Z,2025-04-26T20:02:52Z,5682120357,141,52.3,5682120359,212,11.7,5682120361,213,4.64,5682120355,140,92.7,5682120353,56,Center,,,,,,,,,,2szgrzcosfeifh664tgt3mfvt,Ferran Torres,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Barcelona
2806600287,16,12,1,1,57,3kq9cckrnlogidldtdie2fkbl,1,6.9,43.1,2025-04-26T20:02:47.515Z,2025-04-26T20:02:48Z,5682120371,56,Back,5682120379,213,3.76,5682120377,212,9.9,5682120373,140,0,5682120413,167,,5682120375,141,34.7,,,,,,,aipyotc87m5bdvmvizd5n69k9,A. Tchouaméni,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Real Madrid
2806600297,17,6,1,1,57,3kq9cckrnlogidldtdie2fkbl,0,0,36.2,2025-04-26T20:02:48.029Z,2025-04-26T20:04:29Z,5682120499,233,39,5682120427,56,Back,5682120429,73,,,,,,,,,,,,,,,,,aipyotc87m5bdvmvizd5n69k9,A. Tchouaméni,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Real Madrid
2806600291,39,6,1,1,57,agh9ifb2mw3ivjusgedj7c3fe,1,100,63.8,2025-04-26T20:02:48.029Z,2025-04-26T20:04:29Z,5682120465,233,17,5682120419,56,Center,5682120421,73,,,,,,,,,,,,,,,,,2szgrzcosfeifh664tgt3mfvt,Ferran Torres,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Barcelona
2806600681,40,1,1,2,29,agh9ifb2mw3ivjusgedj7c3fe,1,99.5,99.5,2025-04-26T20:03:19.771Z,2025-04-26T20:03:48Z,5682122425,155,,5682122423,6,,5682122437,213,4.56,5682124347,154,,5682122421,2,,5682122435,212,31.7,5682122433,141,53.4,5682124345,210,13,4gq1u1mqg0qzekh1u5djleeax,Dani Olmo,1,5682122427,223,5682122429,56,Center,5682122431,140,94.8,,,,,,,,,,,,,,,,,,,,,Barcelona
2806600687,41,13,1,2,31,agh9ifb2mw3ivjusgedj7c3fe,1,94.9,53.3,2025-04-26T20:03:22.003Z,2025-04-26T20:04:12Z,5682124379,230,98.4,5682124365,29,,5682124363,74,,5682122465,16,,5682124367,154,,5682124383,231,50,5682123567,25,,5682123573,328,,cscn06kwqfzo09h0dc5ybt1pl,Jules Koundé,,5682124369,55,5682122467,56,Center,5682123569,15,,40,5682124375,103,77.8,5682124373,102,45.5,,,,,,,,,,,,,,Barcelona
