id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,assist,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/8/value,keyPass,qualifier/9/value,qualifier/10/value,qualifier/12/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/11/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/16/id,qualifier/16/qualifierId,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/16/value,qualifier/15/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value,qualifier/19/id,qualifier/19/qualifierId,qualifier/19/value,teamName
2765757191,7,1,1,0,12,ah8dala7suqqkj04n2l8xz4zd,1,48.8,77.7,2025-01-15T20:03:20.409Z,2025-01-15T20:03:26Z,5458718835,213,0.29,5458718825,3,,5458718829,140,67.6,5458718831,141,86.4,5458718833,212,20.6,5458718827,56,Left,,,,,,,2r4450bqkmpcf1ogmcfhvczmy,Natan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Real Betis
2765757169,5,4,1,0,16,agh9ifb2mw3ivjusgedj7c3fe,1,29.6,9.1,2025-01-15T20:03:24.958Z,2025-01-15T20:13:44Z,5458718849,294,,5458719005,233,8,5458718853,152,,5458718851,56,Back,5458718855,285,,5458718847,13,,,,,,,,cscn06kwqfzo09h0dc5ybt1pl,Jules Kounde,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Barcelona
2765757195,8,4,1,0,16,ah8dala7suqqkj04n2l8xz4zd,0,70.4,90.9,2025-01-15T20:03:24.959Z,2025-01-15T20:13:44Z,5458718973,56,Left,5458718971,294,,5458719027,233,5,5458718977,286,,5458718975,152,,5458718969,13,,,,,,,,74z66mnnh5ipu13ihlqtun40k,Vitor Roque,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Real Betis
2765757317,6,1,1,0,27,agh9ifb2mw3ivjusgedj7c3fe,1,23.7,4.6,2025-01-15T20:03:35.294Z,2025-01-15T20:03:36Z,5458719407,140,10.9,5458719413,213,2.48,5458719411,212,17,5458719403,152,,5458719401,5,,5458719409,141,20,5458719405,56,Back,,,,cscn06kwqfzo09h0dc5ybt1pl,Jules Kounde,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Barcelona
2765757341,7,1,1,0,27,agh9ifb2mw3ivjusgedj7c3fe,1,10.9,20,2025-01-15T20:03:35.902Z,2025-01-15T20:03:36Z,5458719489,141,47.2,5458719491,212,18.8,5458719493,213,1.74,5458719485,140,7.9,5458719483,56,Back,,,,,,,,,,awsod0zmnrukk21d4882ji7e1,Ronald Araujo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Barcelona
2765757363,8,1,1,0,28,agh9ifb2mw3ivjusgedj7c3fe,1,7.9,47.2,2025-01-15T20:03:36.782Z,2025-01-15T20:03:38Z,5458719571,213,0.92,5458719567,141,74.5,5458719565,140,21.4,5458719569,212,23.4,5458719563,56,Back,,,,,,,,,,4mxx1oxkiexm0ha34utcmb17t,Inaki Pena,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Barcelona
2765757387,9,1,1,0,30,agh9ifb2mw3ivjusgedj7c3fe,1,20.1,74.8,2025-01-15T20:03:38.430Z,2025-01-15T20:03:40Z,5458719673,212,12.2,5458719677,213,5.97,5458719661,56,Back,5458719665,140,31.2,5458719669,141,69.3,,,,,,,,,,bkwxem45cf48k14euwqe7rs44,Pau Cubarsi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Barcelona
2765757395,10,1,1,0,31,agh9ifb2mw3ivjusgedj7c3fe,1,31.2,69.3,2025-01-15T20:03:40.110Z,2025-01-15T20:06:56Z,5458719727,212,22.6,5458719723,140,14.7,5458719721,56,Back,5458719725,141,47.9,5458719747,156,,5458719729,213,3.84,,,,,,,4ftlhtels58lyzfluwofzwxuy,Pedri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Barcelona
2765757455,11,1,1,0,34,agh9ifb2mw3ivjusgedj7c3fe,1,15.4,47.8,2025-01-15T20:03:42.366Z,2025-01-15T20:03:45Z,5458720005,140,15,5458720009,212,16.9,5458720003,56,Back,5458720011,213,4.69,5458720007,141,23,,,,,,,,,,4mxx1oxkiexm0ha34utcmb17t,Inaki Pena,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Barcelona
2765757495,12,1,1,0,37,agh9ifb2mw3ivjusgedj7c3fe,1,15,23,2025-01-15T20:03:45.422Z,2025-01-15T20:03:47Z,5458720223,140,20.6,5458720221,56,Back,5458720225,141,2.8,5458720229,213,5.12,5458720227,212,14.9,,,,,,,,,,awsod0zmnrukk21d4882ji7e1,Ronald Araujo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Barcelona
2765757519,13,1,1,0,39,agh9ifb2mw3ivjusgedj7c3fe,0,20.6,2.8,2025-01-15T20:03:47.854Z,2025-01-15T20:03:48Z,5458720339,141,18.6,5458720335,140,47.2,5458720329,56,Back,5458720347,213,0.37,5458720343,212,29.9,,,,,,,,,,cscn06kwqfzo09h0dc5ybt1pl,Jules Kounde,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Barcelona
2765757539,9,61,1,0,41,ah8dala7suqqkj04n2l8xz4zd,0,58.3,83.6,2025-01-15T20:03:49.488Z,2025-01-15T21:04:04Z,5458720419,56,Left,,,,,,,,,,,,,,,,,,,,,,67qku7vyvbw76086eu05nowd1,R. Perraud,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Real Betis
2765757601,14,1,1,0,41,agh9ifb2mw3ivjusgedj7c3fe,1,42.1,22.5,2025-01-15T20:03:50.158Z,2025-01-15T20:03:54Z,5458720685,212,23.1,5458720687,213,5.99,5458720681,140,63.1,5458720683,141,12.6,5458720679,56,Right,,,,,,,,,,eb3ci3a120om80v80mobsus8a,Gavi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Barcelona
2765757603,15,61,1,0,43,agh9ifb2mw3ivjusgedj7c3fe,0,62.8,12.6,2025-01-15T20:03:51.934Z,2025-01-15T20:21:30Z,5458720691,56,Right,,,,,,,,,,,,,,,,,,,,,,abr79wsl0folgkyvl821ggs2c,Lamine Yamal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Barcelona
2765757591,10,49,1,0,44,ah8dala7suqqkj04n2l8xz4zd,1,31.9,82.5,2025-01-15T20:03:52.392Z,2025-01-15T20:07:56Z,,,,,,,,,,,,,,,,,,,,,,,,,2r4450bqkmpcf1ogmcfhvczmy,Natan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Real Betis
2765757641,11,1,1,0,45,ah8dala7suqqkj04n2l8xz4zd,1,30.8,81.9,2025-01-15T20:03:53.908Z,2025-01-15T20:03:56Z,5458720843,56,Back,5458720849,212,20.8,5458720845,140,14.2,5458720847,141,65.1,5458720851,213,3.72,,,,,,,,,,2r4450bqkmpcf1ogmcfhvczmy,Natan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Real Betis
2765757687,12,1,1,0,48,ah8dala7suqqkj04n2l8xz4zd,0,15.5,66.5,2025-01-15T20:03:56.553Z,2025-01-15T20:03:59Z,5458721023,56,Left,5458721021,157,,5458721025,140,62,5458721031,213,0.35,5458721033,1,,5458721029,212,51.9,5458721027,141,92.4,,,,2b7ankpb026wngkg3hgppev6y,Fran Vieites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Real Betis
2765757713,16,1,1,0,52,agh9ifb2mw3ivjusgedj7c3fe,0,32.7,8.2,2025-01-15T20:04:00.301Z,2025-01-15T20:04:01Z,5458721127,56,Right,5458721137,213,0.28,5458721141,1,,5458721129,140,56.9,5458721133,212,26.4,5458721131,141,18.8,5458721125,157,,,,,cscn06kwqfzo09h0dc5ybt1pl,Jules Kounde,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Barcelona
2765757727,13,61,1,0,53,ah8dala7suqqkj04n2l8xz4zd,1,39.6,85.1,2025-01-15T20:04:01.658Z,2025-01-15T20:04:01Z,5458721209,56,Back,,,,,,,,,,,,,,,,,,,,,,3ub05nnpt9o7s387z6oj8vf56,J. Cardoso,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Real Betis
2765757749,17,49,1,0,54,agh9ifb2mw3ivjusgedj7c3fe,1,65.6,17.3,2025-01-15T20:04:02.230Z,2025-01-15T21:05:02Z,,,,,,,,,,,,,,,,,,,,,,,,,4gq1u1mqg0qzekh1u5djleeax,Dani Olmo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Barcelona
2765757783,18,1,1,0,54,agh9ifb2mw3ivjusgedj7c3fe,1,65.6,17.3,2025-01-15T20:04:02.342Z,2025-01-15T21:05:04Z,5458721481,213,5.19,5458721479,212,10.6,5458721475,140,70.2,5458721473,56,Right,5458721477,141,3.5,,,,,,,,,,4gq1u1mqg0qzekh1u5djleeax,Dani Olmo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Barcelona
2765757791,19,61,1,0,55,agh9ifb2mw3ivjusgedj7c3fe,0,69.8,4.6,2025-01-15T20:04:04.021Z,2025-01-15T21:05:07Z,5458721501,56,Right,,,,,,,,,,,,,,,,,,,,,,abr79wsl0folgkyvl821ggs2c,Lamine Yamal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Barcelona
2765757803,14,61,1,0,55,ah8dala7suqqkj04n2l8xz4zd,0,30.2,95.4,2025-01-15T20:04:04.022Z,2025-01-15T21:05:08Z,5458721553,56,Back,,,,,,,,,,,,,,,,,,,,,,67qku7vyvbw76086eu05nowd1,R. Perraud,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Real Betis
2765757807,20,50,1,0,56,agh9ifb2mw3ivjusgedj7c3fe,1,70.4,3,2025-01-15T20:04:04.334Z,2025-01-15T21:05:17Z,5458721573,56,Right,5458721575,286,,5458721771,233,15,,,,,,,,,,,,,,,,abr79wsl0folgkyvl821ggs2c,Lamine Yamal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Barcelona
2765757847,15,7,1,0,56,ah8dala7suqqkj04n2l8xz4zd,1,29.6,97,2025-01-15T20:04:04.335Z,2025-01-15T21:21:13Z,5458721761,233,20,5458721747,167,,5458721751,285,,5458721749,56,Back,,,,,,,,,,,,,67qku7vyvbw76086eu05nowd1,R. Perraud,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Real Betis
2765757873,16,5,1,0,58,ah8dala7suqqkj04n2l8xz4zd,0,29.2,101.5,2025-01-15T20:04:06.814Z,2025-01-15T20:13:42Z,5458722517,233,21,5458721881,347,,5458721879,56,Back,,,,,,,,,,,,,,,,67qku7vyvbw76086eu05nowd1,R. Perraud,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Real Betis
2765757987,21,5,1,0,58,agh9ifb2mw3ivjusgedj7c3fe,1,70.8,-1.5,2025-01-15T20:04:06.814Z,2025-01-15T20:13:42Z,5458722465,56,Right,5458722469,347,,5458722491,233,16,,,,,,,,,,,,,,,,abr79wsl0folgkyvl821ggs2c,Lamine Yamal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Barcelona
2765757953,17,43,1,1,8,ah8dala7suqqkj04n2l8xz4zd,1,0,0,2025-01-15T20:04:16.697Z,2025-01-15T20:04:24Z,5458722699,144,83,,,,,,,,,,,,,,,,,,,,,,2r4450bqkmpcf1ogmcfhvczmy,Natan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Real Betis
2765758001,22,43,1,1,12,agh9ifb2mw3ivjusgedj7c3fe,1,0,0,2025-01-15T20:04:20.525Z,2025-01-15T20:04:48Z,5458722577,141,0,5458722581,213,3.12,5458722579,212,2.6,5458722575,140,62.9,5458724453,144,1,5458722571,107,0,5458722573,56,Right,,,,abr79wsl0folgkyvl821ggs2c,Lamine Yamal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Barcelona
2765758005,23,43,1,1,13,agh9ifb2mw3ivjusgedj7c3fe,1,0,0,2025-01-15T20:04:21.605Z,2025-01-15T20:04:47Z,5458722593,56,Right,5458724359,144,5,5458722595,347,0,,,,,,,,,,,,,,,,bkwxem45cf48k14euwqe7rs44,Pau Cubarsi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Barcelona
2765758027,24,1,1,1,14,agh9ifb2mw3ivjusgedj7c3fe,1,62.9,0,2025-01-15T20:04:22.877Z,2025-01-15T20:19:20Z,5458734209,189,,5458724555,107,,5458722683,56,Back,5458722685,140,33.4,5458722689,212,33.5,5458722693,1,,5458722691,213,2.75,5458722687,141,17.7,cscn06kwqfzo09h0dc5ybt1pl,Jules Kounde,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Barcelona
2765758041,25,1,1,1,15,agh9ifb2mw3ivjusgedj7c3fe,1,33.4,17.7,2025-01-15T20:04:23.933Z,2025-01-15T20:07:26Z,5458722767,141,49.3,5458722771,213,2.39,5458735145,189,,5458722763,56,Back,5458722765,140,11.4,5458722769,212,31.5,,,,,,,awsod0zmnrukk21d4882ji7e1,Ronald Araujo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Barcelona
2765758059,26,1,1,1,16,agh9ifb2mw3ivjusgedj7c3fe,1,13.4,50.5,2025-01-15T20:04:25.149Z,2025-01-15T20:07:44Z,5458722845,56,Back,5458722849,141,76.9,5458722853,213,0.81,5458722851,212,24.9,5458722847,140,29.8,,,,,,,,,,4mxx1oxkiexm0ha34utcmb17t,Inaki Pena,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Barcelona
2765760843,67,1,1,1,17,agh9ifb2mw3ivjusgedj7c3fe,1,36.6,79.3,2025-01-15T20:04:25.292Z,2025-01-15T20:09:31Z,5458743167,56,Left,5458743171,141,95.1,5458743173,212,20.7,5458743175,213,0.55,5458743169,140,53.4,,,,,,,,,,bkwxem45cf48k14euwqe7rs44,Pau Cubarsi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Barcelona
2765758099,27,1,1,1,18,agh9ifb2mw3ivjusgedj7c3fe,1,60.8,94.4,2025-01-15T20:04:26.477Z,2025-01-15T20:09:27Z,5458723025,212,21.5,5458723027,213,3.15,5458723019,56,Back,5458723023,141,94,5458723021,140,40.3,,,,,,,,,,6l1y87tlepsvr83d8y2qifeqy,Gerard Martin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Barcelona
2765758123,28,1,1,1,20,agh9ifb2mw3ivjusgedj7c3fe,1,51.4,94.2,2025-01-15T20:04:28.765Z,2025-01-15T20:11:34Z,5458723107,213,5.89,5458723103,141,86.9,5458723101,140,62.8,5458723105,212,13,5458723097,56,Left,,,,,,,,,,bkwxem45cf48k14euwqe7rs44,Pau Cubarsi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Barcelona
2765758131,29,1,1,1,21,agh9ifb2mw3ivjusgedj7c3fe,1,56.4,87.8,2025-01-15T20:04:29.389Z,2025-01-15T20:04:30Z,5458723155,140,60.3,5458723159,212,6.3,5458723153,56,Left,5458723161,213,0.86,5458723157,141,94.8,,,,,,,,,,4ftlhtels58lyzfluwofzwxuy,Pedri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Barcelona
2765758153,30,1,1,1,21,agh9ifb2mw3ivjusgedj7c3fe,1,60.3,94.8,2025-01-15T20:04:29.965Z,2025-01-15T20:11:56Z,5458723269,141,76.1,5458723265,56,Center,5458723273,213,4.1,5458723271,212,15.5,5458723267,140,51.8,,,,,,,,,,6l1y87tlepsvr83d8y2qifeqy,Gerard Martin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Barcelona
2765758175,31,1,1,1,23,agh9ifb2mw3ivjusgedj7c3fe,1,51.8,76.1,2025-01-15T20:04:31.693Z,2025-01-15T20:04:33Z,5458723383,213,2.78,5458723381,212,12.7,5458723379,141,82.6,5458723375,56,Back,5458723377,140,40.5,,,,,,,,,,ezviixcyaaj162saxs2yl27s9,Frenkie de Jong,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Barcelona
2765758225,32,1,1,1,25,agh9ifb2mw3ivjusgedj7c3fe,1,40.5,82.6,2025-01-15T20:04:33.453Z,2025-01-15T20:04:37Z,5458723613,213,4.91,5458723605,140,44.9,5458723609,212,23.9,5458723607,141,48.1,5458723603,56,Back,,,,,,,,,,bkwxem45cf48k14euwqe7rs44,Pau Cubarsi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Barcelona
2765758289,33,1,1,1,28,agh9ifb2mw3ivjusgedj7c3fe,1,59.2,33.6,2025-01-15T20:04:37.181Z,2025-01-15T20:04:40Z,5458723925,212,25.2,5458723921,140,72.6,5458723923,141,2.8,5458723919,56,Right,5458723927,213,5.3,,,,,,,,,,awsod0zmnrukk21d4882ji7e1,Ronald Araujo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Barcelona
2765758283,18,45,1,1,31,ah8dala7suqqkj04n2l8xz4zd,0,31.6,95,2025-01-15T20:04:40.136Z,2025-01-15T20:13:45Z,5458724141,233,34,5458724003,285,,5458724001,56,Back,,,,,,,,,,,,,,,,c4je25rkbg2n45xs5iurevhlh,Juanmi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Real Betis
2765758331,34,3,1,1,31,agh9ifb2mw3ivjusgedj7c3fe,1,68.4,5,2025-01-15T20:04:40.136Z,2025-01-15T20:13:45Z,5458724123,56,Right,5458724125,286,,5458724137,233,18,,,,,,,,,,,,,,,,abr79wsl0folgkyvl821ggs2c,Lamine Yamal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Barcelona
2765758343,35,1,1,1,35,agh9ifb2mw3ivjusgedj7c3fe,0,86.5,9.4,2025-01-15T20:04:43.389Z,2025-01-15T20:04:45Z,5458724177,213,1.33,5458724167,155,,5458724173,141,43.3,5458724171,140,92,5458724175,212,23.8,5458724169,56,Center,5458724165,2,,,,,abr79wsl0folgkyvl821ggs2c,Lamine Yamal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Barcelona
