id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,keyPass,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,assist,qualifier/10/value,qualifier/14/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/11/value,qualifier/15/value,qualifier/16/value,teamName
2795107031,9,1,1,0,13,agh9ifb2mw3ivjusgedj7c3fe,1,31.8,9.8,2025-04-02T19:32:05.911Z,2025-04-02T19:32:07Z,5618909751,141,5.6,5618909747,56,Back,5618909749,140,42.4,5618909755,213,6.03,5618909753,212,11.5,,,,,,,,,,cscn06kwqfzo09h0dc5ybt1pl,Jules Koundé,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Barcelona
2795107041,10,1,1,0,14,agh9ifb2mw3ivjusgedj7c3fe,1,41.8,5.9,2025-04-02T19:32:07.510Z,2025-04-02T19:32:08Z,5618909807,213,1.94,5618909803,141,14.6,5618909801,140,39.6,5618909799,56,Back,5618909805,212,6.4,,,,,,,,,,cjll1xrw3xulnl23c9tlf6rys,Fermín López,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Barcelona
2795107083,11,1,1,0,15,agh9ifb2mw3ivjusgedj7c3fe,1,39.6,14.6,2025-04-02T19:32:08.567Z,2025-04-02T19:32:11Z,5618909975,56,Back,5618909983,213,3.68,5618909977,140,34,5618909981,212,6.9,5618909979,141,9.4,,,,,,,,,,ezviixcyaaj162saxs2yl27s9,Frenkie de Jong,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Barcelona
2795107069,3,83,1,0,17,4ku8o6uf87yd8iecdalipo6wd,0,59.4,92.4,2025-04-02T19:32:10.460Z,2025-04-02T19:34:14Z,5618910233,399,cscn06kwqfzo09h0dc5ybt1pl,,,,,,,,,,,,,,,,,,,,,,716n1970vi9rvw5b4w9qmjfth,A. Griezmann,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Atletico Madrid
2795107087,12,43,1,0,18,agh9ifb2mw3ivjusgedj7c3fe,1,0,0,2025-04-02T19:32:11.014Z,2025-04-02T19:33:45Z,5618910003,286,0,5618915497,144,3,5618910001,56,Back,,,,,,,,,,,,,,,,cscn06kwqfzo09h0dc5ybt1pl,Jules Koundé,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Barcelona
2795107101,13,61,1,0,19,agh9ifb2mw3ivjusgedj7c3fe,0,34,9.7,2025-04-02T19:32:12.150Z,2025-04-02T19:32:12Z,5618910049,56,Back,,,,,,,,,,,,,,,,,,,,,,cscn06kwqfzo09h0dc5ybt1pl,Jules Koundé,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Barcelona
2795107111,4,1,1,0,19,4ku8o6uf87yd8iecdalipo6wd,0,57.3,96,2025-04-02T19:32:12.328Z,2025-04-02T19:34:12Z,5618910093,140,58.2,5618910099,213,5.88,5618910097,212,1,5618910119,236,,5618910125,286,,5618910095,141,95.4,5618910121,233,14,5618910091,56,Left,5es43b4a7fv0lkmp63dj439ey,G. Simeone,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Atletico Madrid
2795107113,14,74,1,0,19,agh9ifb2mw3ivjusgedj7c3fe,1,35.9,13.2,2025-04-02T19:32:12.329Z,2025-04-02T20:28:07Z,5618910103,285,,5618910101,56,Back,5618910163,233,4,,,,,,,,,,,,,,,,cscn06kwqfzo09h0dc5ybt1pl,Jules Koundé,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Barcelona
2795108275,19,61,1,0,20,4ku8o6uf87yd8iecdalipo6wd,1,63.1,94.7,2025-04-02T19:32:12.992Z,2025-04-02T19:34:10Z,5618916447,56,Left,,,,,,,,,,,,,,,,,,,,,,5es43b4a7fv0lkmp63dj439ey,G. Simeone,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Atletico Madrid
2795107199,15,1,1,0,21,agh9ifb2mw3ivjusgedj7c3fe,1,38.2,17.7,2025-04-02T19:32:14.519Z,2025-04-02T19:32:20Z,5618910539,140,32.2,5618910545,212,39.5,5618910537,56,Back,5618910551,1,,5618910535,155,,5618910549,213,1.73,5618910543,141,75.1,,,,ezviixcyaaj162saxs2yl27s9,Frenkie de Jong,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Barcelona
2795107233,16,1,1,0,27,agh9ifb2mw3ivjusgedj7c3fe,1,53.1,87.5,2025-04-02T19:32:20.311Z,2025-04-02T19:32:23Z,5618910757,141,79.3,5618910761,213,5.88,5618910755,140,65.5,5618910759,212,14.2,5618910753,56,Left,,,,,,,,,,cd5napttmwk5o9gxw3cbb4ted,Iñigo Martínez,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Barcelona
2795107241,17,1,1,0,30,agh9ifb2mw3ivjusgedj7c3fe,0,63.4,73,2025-04-02T19:32:23.190Z,2025-04-02T19:32:23Z,5618910789,213,4.32,5618910785,141,63.4,5618910783,140,60.8,5618910781,56,Center,5618910787,212,7.1,,,,,,,,,,2wl6h1rlrfnn2mr65vuo3t815,Raphinha,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Barcelona
2795107253,5,8,1,0,31,4ku8o6uf87yd8iecdalipo6wd,1,43.7,48.1,2025-04-02T19:32:24.696Z,2025-04-02T19:32:24Z,5618910843,56,Back,,,,,,,,,,,,,,,,,,,,,,716n1970vi9rvw5b4w9qmjfth,A. Griezmann,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Atletico Madrid
2795107259,18,83,1,0,32,agh9ifb2mw3ivjusgedj7c3fe,0,59.8,65.2,2025-04-02T19:32:25.270Z,2025-04-02T19:32:30Z,5618911203,399,716n1970vi9rvw5b4w9qmjfth,,,,,,,,,,,,,,,,,,,,,,2wl6h1rlrfnn2mr65vuo3t815,Raphinha,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Barcelona
2795107273,6,1,1,0,32,4ku8o6uf87yd8iecdalipo6wd,1,40,41.5,2025-04-02T19:32:25.464Z,2025-04-02T19:32:26Z,5618910939,213,3.77,5618910933,140,34.9,5618910935,141,35.8,5618910937,212,6.6,5618910931,56,Back,,,,,,,,,,716n1970vi9rvw5b4w9qmjfth,A. Griezmann,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Atletico Madrid
2795107275,7,49,1,0,33,4ku8o6uf87yd8iecdalipo6wd,1,34.9,35.3,2025-04-02T19:32:26.280Z,2025-04-02T19:32:26Z,,,,,,,,,,,,,,,,,,,,,,,,,3ga7qj3h3dbmqucxmaxhmrjdh,R. De Paul,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Atletico Madrid
2795107307,8,1,1,0,33,4ku8o6uf87yd8iecdalipo6wd,1,34.9,35.3,2025-04-02T19:32:26.520Z,2025-04-02T19:32:28Z,5618911139,212,12.2,5618911135,140,45.8,5618911133,56,Back,5618911141,213,5.92,5618911137,141,28.9,,,,,,,,,,3ga7qj3h3dbmqucxmaxhmrjdh,R. De Paul,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Atletico Madrid
2795107309,9,61,1,0,35,4ku8o6uf87yd8iecdalipo6wd,1,45.7,28.9,2025-04-02T19:32:28.708Z,2025-04-02T19:33:46Z,5618911149,56,Back,,,,,,,,,,,,,,,,,,,,,,9ikkuxd19avliz1khcrm82gyy,J. Alvarez,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Atletico Madrid
2795107345,10,61,1,0,39,4ku8o6uf87yd8iecdalipo6wd,0,58.3,33.4,2025-04-02T19:32:32.377Z,2025-04-02T19:32:32Z,5618911335,56,Center,,,,,,,,,,,,,,,,,,,,,,716n1970vi9rvw5b4w9qmjfth,A. Griezmann,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Atletico Madrid
2795107349,19,49,1,0,39,agh9ifb2mw3ivjusgedj7c3fe,1,36.6,67.8,2025-04-02T19:32:32.486Z,2025-04-02T19:32:32Z,,,,,,,,,,,,,,,,,,,,,,,,,ezviixcyaaj162saxs2yl27s9,Frenkie de Jong,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Barcelona
2795107361,20,1,1,0,39,agh9ifb2mw3ivjusgedj7c3fe,1,36.6,67.8,2025-04-02T19:32:32.631Z,2025-04-02T19:32:34Z,5618911409,213,4.09,5618911405,141,53.7,5618911403,140,30.1,5618911407,212,11.8,5618911401,56,Back,,,,,,,,,,ezviixcyaaj162saxs2yl27s9,Frenkie de Jong,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Barcelona
2795107371,21,1,1,0,41,agh9ifb2mw3ivjusgedj7c3fe,1,30,53,2025-04-02T19:32:34.247Z,2025-04-02T19:32:35Z,5618911445,56,Back,5618911453,213,5.81,5618911451,212,8.1,5618911447,140,36.9,5618911449,141,47.6,,,,,,,,,,bkwxem45cf48k14euwqe7rs44,Pau Cubarsí,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Barcelona
2795107407,22,1,1,0,42,agh9ifb2mw3ivjusgedj7c3fe,1,36.9,47.6,2025-04-02T19:32:35.143Z,2025-04-02T19:32:39Z,5618911677,212,8.5,5618911671,141,59.4,5618911667,140,34.3,5618911679,213,1.9,5618911663,56,Back,,,,,,,,,,cjll1xrw3xulnl23c9tlf6rys,Fermín López,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Barcelona
2795107471,23,1,1,0,46,agh9ifb2mw3ivjusgedj7c3fe,1,36.9,44.3,2025-04-02T19:32:39.206Z,2025-04-02T19:32:43Z,5618912011,56,Back,5618912015,141,9.1,5618912017,212,24.6,5618912019,213,4.94,5618912013,140,42.2,,,,,,,,,,ezviixcyaaj162saxs2yl27s9,Frenkie de Jong,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Barcelona
2795107495,24,1,1,0,50,agh9ifb2mw3ivjusgedj7c3fe,1,41.2,9.8,2025-04-02T19:32:43.319Z,2025-04-02T19:32:46Z,5618912181,212,7.6,5618912177,140,39.5,5618912179,141,20.7,5618912183,213,1.81,5618912175,56,Back,,,,,,,,,,abr79wsl0folgkyvl821ggs2c,Lamine Yamal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Barcelona
2795107515,25,1,1,0,53,agh9ifb2mw3ivjusgedj7c3fe,1,38.2,32.8,2025-04-02T19:32:46.296Z,2025-04-02T19:32:48Z,5618912321,56,Back,5618912327,212,9.4,5618912325,141,38.8,5618912329,213,0.45,5618912323,140,46.3,,,,,,,,,,ezviixcyaaj162saxs2yl27s9,Frenkie de Jong,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Barcelona
2795107579,26,1,1,0,55,agh9ifb2mw3ivjusgedj7c3fe,1,44.3,33.4,2025-04-02T19:32:48.664Z,2025-04-02T19:32:55Z,5618912705,212,47.7,5618912699,56,Center,5618912701,140,89.4,5618912697,155,,5618912709,1,,5618912703,141,25.3,5618912707,213,6.17,,,,4ftlhtels58lyzfluwofzwxuy,Pedri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Barcelona
2795107547,11,83,1,0,59,4ku8o6uf87yd8iecdalipo6wd,0,11.6,68.3,2025-04-02T19:32:52.536Z,2025-04-02T19:32:56Z,5618912781,399,abr79wsl0folgkyvl821ggs2c,,,,,,,,,,,,,,,,,,,,,,cj3dik1dqyo2nf1jgmyn471sl,Reinildo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Atletico Madrid
2795107581,27,1,1,1,2,agh9ifb2mw3ivjusgedj7c3fe,0,97.2,33.6,2025-04-02T19:32:54.934Z,2025-04-02T19:32:55Z,5618912719,212,10,5618912713,56,Center,5618912715,140,95.6,5618912721,213,1.74,5618912717,141,48.1,,,,,,,,,,abr79wsl0folgkyvl821ggs2c,Lamine Yamal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Barcelona
2795107589,12,8,1,1,2,4ku8o6uf87yd8iecdalipo6wd,1,4.2,50.4,2025-04-02T19:32:55.496Z,2025-04-02T19:33:00Z,5618912759,56,Back,5618913107,14,,,,,,,,,,,,,,,,,,,,548jzfl9higq44w9bgqvcjh05,J. Giménez,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Atletico Madrid
2795107615,13,52,1,1,4,4ku8o6uf87yd8iecdalipo6wd,1,3,54.8,2025-04-02T19:32:57.448Z,2025-04-02T19:32:57Z,,,,,,,,,,,,,,,,,,,,,,,,,7drgir9lcwfst8vxz07jboe6t,J. Musso,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Atletico Madrid
2795107831,14,1,1,1,21,4ku8o6uf87yd8iecdalipo6wd,1,9.2,52.8,2025-04-02T19:33:14.712Z,2025-04-02T19:33:16Z,5618913993,199,,5618913999,141,72,5618914003,213,1.49,5618913997,140,10.2,5618913995,56,Back,5618914001,212,13.1,,,,,,,7drgir9lcwfst8vxz07jboe6t,J. Musso,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Atletico Madrid
2795107857,15,1,1,1,24,4ku8o6uf87yd8iecdalipo6wd,1,10.4,72.3,2025-04-02T19:33:16.747Z,2025-04-02T19:33:19Z,5618914149,56,Back,5618914155,212,14.3,5618914151,140,14.4,5618914153,141,92.4,5618914157,213,1.27,,,,,,,,,,6xulax65kp4aid70nk7g5jr2t,Robin Le Normand,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Atletico Madrid
2795107861,16,1,1,1,26,4ku8o6uf87yd8iecdalipo6wd,0,14.5,94.5,2025-04-02T19:33:19.352Z,2025-04-02T19:33:21Z,5618914183,213,5.73,5618914175,56,Back,5618914177,140,16.5,5618914281,233,28,5618914181,212,2.5,5618914279,236,,5618914173,155,,5618914285,286,,cj3dik1dqyo2nf1jgmyn471sl,Reinildo,5618914179,141,92.6,,,,,,,,,,,,,,,,,,,,,,,,,,,Atletico Madrid
2795107875,28,74,1,1,26,agh9ifb2mw3ivjusgedj7c3fe,1,76.7,6.7,2025-04-02T19:33:19.353Z,2025-04-02T20:28:08Z,5618914263,56,Right,5618914265,285,,5618914289,233,16,,,,,,,,,,,,,,,,abr79wsl0folgkyvl821ggs2c,Lamine Yamal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Barcelona
2795107889,29,1,1,1,29,agh9ifb2mw3ivjusgedj7c3fe,1,73.9,3.8,2025-04-02T19:33:21.847Z,2025-04-02T19:33:22Z,5618914347,141,6.8,5618914351,213,2.5,5618914341,56,Right,5618914349,212,3.4,5618914343,140,71.3,,,,,,,,,,abr79wsl0folgkyvl821ggs2c,Lamine Yamal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Barcelona
2795107895,30,1,1,1,30,agh9ifb2mw3ivjusgedj7c3fe,1,71,7.1,2025-04-02T19:33:22.758Z,2025-04-02T19:33:23Z,5618914371,56,Right,5618914377,212,3.2,5618914373,140,73.4,5618914379,213,5.64,5618914375,141,4.3,,,,,,,,,,cscn06kwqfzo09h0dc5ybt1pl,Jules Koundé,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Barcelona
2795107899,31,49,1,1,30,agh9ifb2mw3ivjusgedj7c3fe,1,73.4,4.3,2025-04-02T19:33:23.463Z,2025-04-02T19:33:23Z,,,,,,,,,,,,,,,,,,,,,,,,,abr79wsl0folgkyvl821ggs2c,Lamine Yamal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Barcelona
2795107943,32,1,1,1,32,agh9ifb2mw3ivjusgedj7c3fe,1,78.5,5.5,2025-04-02T19:33:25.047Z,2025-04-02T19:33:27Z,5618914629,212,5.7,5618914623,56,Right,5618914625,140,73.3,5618914631,213,2.84,5618914627,141,8,,,,,,,,,,abr79wsl0folgkyvl821ggs2c,Lamine Yamal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Barcelona
2795107971,33,1,1,1,34,agh9ifb2mw3ivjusgedj7c3fe,1,73.8,7.6,2025-04-02T19:33:27.398Z,2025-04-02T19:33:30Z,5618914761,141,3.2,5618914757,56,Right,5618914765,213,4.37,5618914763,212,3.2,5618914759,140,72.8,,,,,,,,,,cscn06kwqfzo09h0dc5ybt1pl,Jules Koundé,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Barcelona
2795107989,34,1,1,1,37,agh9ifb2mw3ivjusgedj7c3fe,1,77.5,8,2025-04-02T19:33:29.910Z,2025-04-02T19:33:31Z,5618914877,213,2.12,5618914869,56,Right,5618914873,141,17.3,5618914871,140,73.8,5618914875,212,7.4,,,,,,,,,,abr79wsl0folgkyvl821ggs2c,Lamine Yamal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Barcelona
2795108011,35,1,1,1,38,agh9ifb2mw3ivjusgedj7c3fe,1,73.3,17.3,2025-04-02T19:33:31.495Z,2025-04-02T19:33:33Z,5618914967,140,93.7,5618914973,213,0.04,5618914969,141,18.6,5618914971,212,21.4,5618914965,56,Right,,,,,,,,,,cjll1xrw3xulnl23c9tlf6rys,Fermín López,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Barcelona
2795108015,36,1,1,1,40,agh9ifb2mw3ivjusgedj7c3fe,0,93.7,18.6,2025-04-02T19:33:33.239Z,2025-04-02T19:33:39Z,5618915003,213,1.87,5618914997,140,93.4,5618915069,236,,5618914999,141,20.1,5618915071,233,17,5618914991,2,,5618914995,56,Right,5618915075,286,,cscn06kwqfzo09h0dc5ybt1pl,Jules Koundé,5618915001,212,1.1,,,,,,,,,,,,,,,,,,,,,,,,,,,Barcelona
2795108027,17,12,1,1,40,4ku8o6uf87yd8iecdalipo6wd,1,7.1,79.8,2025-04-02T19:33:33.339Z,2025-04-02T19:33:35Z,5618915091,233,36,5618915045,56,Back,5618915043,185,,,,,,,,,,,,,,,,,cj3dik1dqyo2nf1jgmyn471sl,Reinildo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Atletico Madrid
2795108033,18,6,1,1,41,4ku8o6uf87yd8iecdalipo6wd,0,3.8,79.4,2025-04-02T19:33:34.440Z,2025-04-02T19:33:44Z,5618915103,73,,5618915137,233,37,5618915101,56,Back,,,,,,,,,,,,,,,,cj3dik1dqyo2nf1jgmyn471sl,Reinildo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Atletico Madrid
2795108023,37,6,1,1,41,agh9ifb2mw3ivjusgedj7c3fe,1,96.2,20.6,2025-04-02T19:33:34.440Z,2025-04-02T19:33:38Z,5618915117,56,Right,5618915119,75,,5618915129,233,18,,,,,,,,,,,,,,,,cscn06kwqfzo09h0dc5ybt1pl,Jules Koundé,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Barcelona
2795108475,38,1,1,2,36,agh9ifb2mw3ivjusgedj7c3fe,0,99.5,0.5,2025-04-02T19:34:29.126Z,2025-04-02T19:34:49Z,5618917495,56,Center,5618917489,6,,5618917505,1,,5618917501,212,34.5,5618917487,2,,5618917491,155,,5618917499,141,51,5618917493,223,,2wl6h1rlrfnn2mr65vuo3t815,Raphinha,5618917503,213,1.67,5618917497,140,96.3,,,,,,,,,,,,,,,,,,,,,,,,Barcelona
2795108491,20,4,1,2,39,4ku8o6uf87yd8iecdalipo6wd,1,1.9,47.5,2025-04-02T19:34:32.072Z,2025-04-02T19:36:57Z,5618918377,152,,5618918381,285,,5618918373,56,Back,5618921021,295,,5618921033,233,41,5618918365,13,,,,,,,,cj3dik1dqyo2nf1jgmyn471sl,Reinildo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Atletico Madrid
2795108541,41,4,1,2,39,agh9ifb2mw3ivjusgedj7c3fe,0,98.1,52.5,2025-04-02T19:34:32.073Z,2025-04-02T19:35:37Z,5618918401,286,,5618919193,295,,5618918393,13,,5618918399,152,,5618920905,233,20,5618918397,56,Center,,,,,,,cscn06kwqfzo09h0dc5ybt1pl,Jules Koundé,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Barcelona
